location,date,time,prev.snail.mu,prev.snail.SE
Crystal,3-Jul-16,125,0.0052,0.002165035
Crystal,20-Jul-16,141,0.0105,0.003531603
Crystal,3-Aug-16,156,0.0095,0.00265623
Higgins,9-Jun-15,100,0.014,0.007071382
Higgins,28-Jun-15,119,0.037,0.013097243
Higgins,14-Jul-15,135,0.029,0.006855837
Higgins,26-Jul-15,147,0.039,0.007631365
NLeeLanau,18-Jul-16,137,0.0037,NA
Crystal,12-Jul-18,133,0.0029,0.001441064
Glen,23-Jul-18,143,0.004,0.004
Larks,4-Aug-18,156,0.006,0.004344537
Elk,19-Jun-18,110,0.01055,0.00065
Elk,1-Aug-18,153,0.0044,NA
Skegemog,1-Aug-18,153,0.0135,NA
