"","M","day1","day2"
"1",1,2,16
"2",2,15,18
"3",3,4,18
"4",4,5,19
"5",5,17,20
"6",6,6,20
"7",7,18,20
"8",8,7,21
"9",9,7,21
"10",10,8,21
"11",11,8,21
"12",12,9,22
"13",13,9,22
"14",14,10,22
"15",15,10,22
"16",16,10,22
"17",17,11,23
"18",18,11,23
"19",19,12,23
"20",20,12,23
"21",21,13,24
"22",22,13,24
"23",23,14,24
"24",24,14,24
"25",25,15,25
"26",26,15,25
"27",27,16,25
"28",28,17,26
"29",29,18,27
"30",30,18,27
"31",31,14,25
"32",32,14,25
"33",33,14,25
"34",34,14,25
"35",35,14,25
"36",36,14,25
"37",37,14,25
"38",38,14,25
"39",39,14,25
"40",40,14,25
